WorkItemId,Type,ParentId,Title,Sprint,SprintStart,SprintEnd,StoryPoints,Priority,Status,FRReference,AcceptanceCriteria
US-005,Story,EP-002,實作 MonitoredSystem Aggregate Root,Sprint 1,2026-04-20,2026-05-01,5,Critical,Not Started,FR-031/032/036/037,"MonitoredSystem 含 SystemId/Name/MarketSessionWindow/AlertRecipients/IsMaintenanceActive/IsActive；維護模式須附 OperatorSession (BI-009)；AlertRecipients 格式驗證"
US-006,Story,EP-002,實作 MonitoredComponent Aggregate Root,Sprint 1,2026-04-20,2026-05-01,5,Critical,Not Started,FR-028/036/038/039/049,"MonitoredComponent 含所有欄位；CronExpression 僅 ScheduledJob 必填；MailParsingRule 成功/失敗關鍵字不得重疊 (BI-016)；IsActive 控制是否參與監控"
US-007,Story,EP-002,實作 AlertRecord Aggregate Root,Sprint 1,2026-04-20,2026-05-01,3,Critical,Not Started,FR-010/011/017~019,"AlertRecord 含 AlertId/SystemId/ComponentId/AlertStatus/OccurredAt/IsGlobalFlagActive/AcknowledgedBy/AcknowledgedAt；Acknowledge 後 GlobalFlag 清除"
US-008,Story,EP-002,實作 HealthMonitorDefinition Aggregate Root,Sprint 1,2026-04-20,2026-05-01,5,Critical,Not Started,FR-041/042/046/047,"HealthMonitorDefinition 含 DefinitionId/SystemId/Name/DeadlineTime/Schedule/WatchedComponents/EmailRecipients/SendOnFailure；WatchedComponents 不得為空 (BI-014)；EmailRecipients 與系統個別收件人完全獨立 (BI-010)"
US-009,Story,EP-002,實作 DailyExecution Aggregate Root,Sprint 1,2026-04-20,2026-05-01,5,Critical,Not Started,FR-042~045/BI-012/013,"DailyExecution 含 ExecutionId/DefinitionId/ExecutionDate/Status/CompletedComponents/FailedComponents；一旦進入終態不得覆寫 (BI-013)；同一 Definition+Date 唯一 (BI-012)"
US-010,Story,EP-002,實作 NotificationInboxItem Aggregate Root,Sprint 1,2026-04-20,2026-05-01,3,High,Not Started,FR-015/020/024,"NotificationInboxItem 含 InboxItemId/DefinitionId/ExecutionId/Title/Body/NotificationType/SentAt/IsRead；NotificationType 列舉 4 種值"
US-011,Story,EP-002,實作所有 Value Objects,Sprint 1,2026-04-20,2026-05-01,5,Critical,Not Started,FR-028/029/039/049,"MarketSessionWindow (StartTime/EndTime 驗證)；EmailAddress (格式驗證)；SubIndicator/MetricValue；HealthRuleSchedule (IsMatch 邏輯含 Daily/Weekly/Cron)；WatchedComponent；MailParsingRule (BI-016 關鍵字不重疊驗證)"
US-012,Story,EP-002,定義全部 Domain Events,Sprint 1,2026-04-20,2026-05-01,3,High,Not Started,,"定義 14 個 Domain Events：ComponentHeartbeatReceived/ComponentStatusChanged/ComponentLost/AlertTriggered/AlertAcknowledged/MaintenanceModeToggled/ComponentStateOverridden/DailyExecutionCreated/DailyExecutionCompleted/DailyExecutionExempted/DailyExecutionMissed/HealthNotificationSent/AggregateHealthDeadlineReached/MailChannelMessageReceived"
US-013,Story,EP-002,定義所有 Repository 介面,Sprint 1,2026-04-20,2026-05-01,3,High,Not Started,,"定義 9 個 Repository Interface：IMonitoredSystemRepository/IMonitoredComponentRepository/IComponentStateRepository/IAlertRecordRepository/IHealthMonitorDefinitionRepository/IDailyExecutionRepository/IExecutionHistoryRepository/IAuditLogRepository/INotificationInboxRepository；方法簽名與 Design Doc Section 5.1 一致"
US-014,Story,EP-002,Domain 層單元測試,Sprint 1,2026-04-20,2026-05-01,5,High,Not Started,,"測試涵蓋：MailParsingRule 關鍵字重疊驗證 (BI-016)；HealthRuleSchedule.IsMatch 日期匹配邏輯；DailyExecution 終態不可覆寫 (BI-013)；WatchedComponents 不得為空 (BI-014)；EmailAddress 格式驗證；測試覆蓋率 ≥ 80%"
US-015,Story,EP-003,實作 DatabaseInitializer & SQLite Schema,Sprint 2,2026-05-04,2026-05-15,5,Critical,Not Started,,"建立所有 11 張資料表 (Design Doc Section 7)；PRAGMA journal_mode=WAL；CREATE TABLE IF NOT EXISTS；DailyExecutions 兩個唯一索引；啟動時自動執行"
US-016,Story,EP-003,實作 MonitoredSystem & MonitoredComponent Repository,Sprint 2,2026-05-04,2026-05-15,5,Critical,Not Started,FR-031,"MonitoredSystemRepository 實作 GetByIdAsync/GetAllActiveAsync/UpsertAsync/SetMaintenanceModeAsync；MonitoredComponentRepository 實作 GetByIdAsync/GetBySystemIdAsync/GetAllActiveAsync/UpsertAsync；Dapper 參數化查詢"
US-017,Story,EP-003,實作 ComponentState Repository,Sprint 2,2026-05-04,2026-05-15,3,Critical,Not Started,,"IComponentStateRepository 完整實作；GetByComponentIdsAsync 支援批次查詢 (FR-045)；SubIndicatorsJson 正確序列化/反序列化"
US-018,Story,EP-003,實作 AlertRecord Repository,Sprint 2,2026-05-04,2026-05-15,3,Critical,Not Started,FR-017/018/019,"IAlertRecordRepository 完整實作；GetUnacknowledgedAsync 依 IsGlobalFlagActive 過濾；AcknowledgeBySystemAsync 批次清除；GetHistoryAsync 支援時間範圍查詢"
US-019,Story,EP-003,實作 HealthMonitorDefinition & DailyExecution Repository,Sprint 2,2026-05-04,2026-05-15,5,Critical,Not Started,FR-041~047/BI-012,"IHealthMonitorDefinitionRepository 含 junction table 讀寫 (HealthDefinitionComponents)；IDailyExecutionRepository UpdateStatusAsync 僅允許終態更新 (BI-013)；AddCompletedComponentAsync 更新 CompletedComponentsJson (FR-034)"
US-020,Story,EP-003,實作 ExecutionHistory / AuditLog / NotificationInbox Repository,Sprint 2,2026-05-04,2026-05-15,5,High,Not Started,FR-021~024,"三個 Repository 完整實作；ExecutionHistory 含 ComponentName/ComponentType 快照欄位；所有 DeleteOlderThanAsync 支援 30 天資料保留 (FR-024)"
US-021,Story,EP-003,Persistence 整合測試,Sprint 2,2026-05-04,2026-05-15,5,High,Not Started,,"使用 SQLite in-memory DB 的整合測試；覆蓋所有 Repository CRUD 操作；驗證 BI-012 (DailyExecution 唯一索引) 與 BI-013 (終態保護)；測試覆蓋率 ≥ 75%"
US-022,Story,EP-004,實作 ZeroMQSubscriberService (XSUB + 訊息分派),Sprint 2,2026-05-04,2026-05-15,5,Critical,Not Started,FR-002/050/051,"ZeroMQSubscriberService 實作 IHostedService；XSUB Socket 連線至 Broker；依 messageType 分派至 IHeartbeatProcessor 或 IMailChannelProcessor；自動重連 (指數退避)；ERR_ZMQ_DISCONNECTED 記錄 ERROR"
US-023,Story,EP-004,實作 HeartbeatMessageParser,Sprint 2,2026-05-04,2026-05-15,3,High,Not Started,,"HeartbeatMessageParser 解析 JSON Payload 為 HeartbeatMessage DTO；驗證必填欄位；解析失敗記錄 WARNING 並丟棄；支援 SubIndicator 陣列"
US-024,Story,EP-004,實作 HeartbeatTimeoutMonitor (per-component Timer),Sprint 2,2026-05-04,2026-05-15,5,Critical,Not Started,FR-003/028/BI-011,"HeartbeatTimeoutMonitor 實作 IHostedService；每個元件獨立 System.Threading.Timer；Service 元件在非 Stopped 狀態超時觸發 ComponentLost；ScheduledJob 元件僅在 Running 狀態計時；計時精度 ±500ms"
US-025,Story,EP-004,實作 DataRetentionService (Quartz Job),Sprint 2,2026-05-04,2026-05-15,3,Medium,Not Started,FR-024,"DataRetentionJob 每日 01:00 執行；清除 ExecutionHistory/AuditLogs/NotificationInbox/DailyExecutions 中超過 30 天的記錄；執行後記錄刪除筆數"
US-026,Story,EP-005,實作 HeartbeatProcessor (含完整狀態機轉換),Sprint 3,2026-05-18,2026-05-29,8,Critical,Not Started,FR-002/003/028/038/039,"HeartbeatProcessor 處理 HeartbeatMessage；依 ComponentType 套用正確狀態轉換 (Design Doc 1.3 狀態機)；子指標 Worst-case Rollup 計算；狀態變更時 Raise ComponentStatusChanged；心跳計時器重置；Stopped 狀態豁免超時"
US-027,Story,EP-005,實作 StateRollupService,Sprint 3,2026-05-18,2026-05-29,3,High,Not Started,FR-001,"StateRollupService.ComputeSystemStatus 依嚴重度排序：Lost > Error > Warning > Unknown > Stopped > Idle > Running > Normal；單一方法純函式設計；單元測試全覆蓋"
US-028,Story,EP-005,實作 ComponentStatusChanged 事件下游鏈,Sprint 3,2026-05-18,2026-05-29,5,Critical,Not Started,FR-034,"ComponentStatusChanged 同時分派至：AlertEvaluationService (告警判斷)、AggregateHealthEvaluationService.UpdateComponentProgressAsync (FR-034 進度追蹤)、SignalR Hub (即時推送)、AuditLogger；事件處理失敗不影響其他訂閱方"
US-029,Story,EP-005,實作 GetDashboardQueryHandler,Sprint 3,2026-05-18,2026-05-29,3,High,Not Started,,"GetDashboardQueryHandler 回傳 IReadOnlyList<SystemSummaryDto>；含 SystemId/Name/RolledUpStatus/IsMaintenanceActive/HasUnacknowledgedAlert/Components；從 in-memory + ComponentStateRepository 組合"
US-030,Story,EP-005,實作站台重啟狀態復原機制,Sprint 3,2026-05-18,2026-05-29,5,Critical,Not Started,FR-033,"啟動時從 SQLite ComponentStates 載入最後已知狀態；Running 狀態的 ScheduledJob 轉為 Warning 並觸發告警 (FR-033)；立即啟動各元件心跳計時器；StationStartupRecoveryService 在 IHostedService.StartAsync 中執行"
US-031,Story,EP-006,實作 AlertEvaluationService,Sprint 3,2026-05-18,2026-05-29,8,Critical,Not Started,FR-010/011/017/BI-004/006/007,"EvaluateAsync 驗證市場盤中時段 (FR-030)；維護模式抑制告警 (BI-006)；同系統未 Acknowledge 前不重複彈出 (BI-007)；建立 AlertRecord 並設 GlobalFlag；觸發 Email (FR-010/037) 與 SignalR Push；Email 失敗寫入 NotificationDeliveryFailed Inbox"
US-032,Story,EP-006,實作 AcknowledgeAlert Use Case,Sprint 3,2026-05-18,2026-05-29,3,High,Not Started,FR-018/019,"AcknowledgeAlertHandler 驗證 OperatorName 非空 (BI-009)；AcknowledgeBySystemAsync 清除系統全域告警標記；Raise AlertAcknowledged；寫入 AuditLog；SignalR 推送 OnAlertAcknowledged"
US-033,Story,EP-006,實作 ToggleMaintenanceMode Use Case,Sprint 3,2026-05-18,2026-05-29,3,High,Not Started,FR-032,"ToggleMaintenanceModeHandler 驗證 OperatorName 非空；Activate 時元件狀態轉為 Maintenance；Deactivate 時重置為 Unknown；Raise MaintenanceModeToggled；寫入 AuditLog；SignalR 推送 OnMaintenanceModeChanged"
US-034,Story,EP-006,實作 OverrideComponentState Use Case,Sprint 3,2026-05-18,2026-05-29,5,High,Not Started,FR-005/006/007,"OverrideComponentStateHandler 驗證 OperatorName 與 Reason 非空 (BI-001/009)；更新 ComponentState；Raise ComponentStateOverridden；寫入 AuditLog；SignalR 推送狀態變更"
US-035,Story,EP-007,實作 MonitorHub (SignalR Hub),Sprint 4,2026-06-01,2026-06-12,5,Critical,Not Started,,"MonitorHub 實作 Server→Client 6 個 Push 方法與 Client→Server 4 個 Invoke 方法 (Design Doc 4.1)；SubscribeDashboard 加入群組；所有 Invoke 回傳 Result<T>"
US-036,Story,EP-007,實作 SignalRNotificationService,Sprint 4,2026-06-01,2026-06-12,3,High,Not Started,,"SignalRNotificationService 實作 IRealtimeNotificationService；透過 IHubContext<MonitorHub> 推送；實作 5 個推送方法；推送失敗記錄 WARNING 不拋出例外"
US-037,Story,EP-007,實作 DashboardPage.razor,Sprint 4,2026-06-01,2026-06-12,8,High,Not Started,FR-001/030,"DashboardPage 顯示所有系統 × 元件狀態；連線 SignalR Hub；接收 OnComponentStatusChanged 即時更新；顯示維護模式標記；盤中/盤後視覺區別；RolledUp 狀態正確顯示"
US-038,Story,EP-007,實作 SystemGroupCard & ComponentStatusRow 元件,Sprint 4,2026-06-01,2026-06-12,5,High,Not Started,FR-039,"SystemGroupCard 顯示系統 RolledUp 狀態；ComponentStatusRow 顯示元件名稱/狀態/最後心跳時間/SubIndicator 展開；狀態顏色對應 ComponentStatus 8 種值"
US-039,Story,EP-007,實作 AlertPopup 即時彈窗元件 (FR-010),Sprint 4,2026-06-01,2026-06-12,5,Critical,Not Started,FR-010/BI-007,"AlertPopup 接收 OnAlertTriggered SignalR 事件後顯示彈窗；同系統 GlobalFlag 已設時不重複彈出 (BI-007)；提供 Acknowledge 操作；彈窗可被使用者關閉"
US-040,Story,EP-007,實作 AlertCenterPage.razor,Sprint 4,2026-06-01,2026-06-12,5,High,Not Started,FR-017/018,"AlertCenterPage 顯示未 Acknowledge 告警清單；提供 Acknowledge 操作觸發 Hub Invoke；告警歷史查詢支援時間範圍篩選；Acknowledge 後即時移除"
US-041,Story,EP-008,實作 OperatorSessionModal (FR-009),Sprint 4,2026-06-01,2026-06-12,3,High,Not Started,FR-009,"OperatorSessionModal 在首次操作前彈出要求輸入姓名；Session 姓名存入 Blazor Circuit 狀態；姓名為空不允許提交；所有需人工操作的 Use Case 均透過此 Modal 取得 OperatorName"
US-042,Story,EP-008,實作 SystemManagementPage.razor (FR-031),Sprint 4,2026-06-01,2026-06-12,8,High,Not Started,FR-031/047,"SystemManagementPage 支援新增/編輯系統設定 (SystemId/Name/MarketSession/AlertRecipients)；內嵌 HealthMonitorDefinition 清單 (FR-047)；元件 CRUD；呼叫 UpsertMonitoredSystem/UpsertMonitoredComponent Use Cases"
US-043,Story,EP-008,實作 HistoryPage.razor (FR-021~023),Sprint 4,2026-06-01,2026-06-12,5,Medium,Not Started,FR-021/022/023,"HistoryPage 顯示 ExecutionHistory 與 AuditLogs；支援系統/時間範圍篩選；顯示 ComponentName 快照 (不受重命名影響)；稽核日誌顯示 OperatorName/ActionType/Reason"
US-044,Story,EP-008,實作 NotificationToast 元件,Sprint 4,2026-06-01,2026-06-12,3,Medium,Not Started,FR-020,"NotificationToast 接收 OnHealthNotificationReceived SignalR 事件；顯示彙整通知 Toast (成功/失敗/豁免)；自動消失；提供連結至通知中心"
US-045,Story,EP-008,實作 AppSettingsImporter (FR-031 初始匯入),Sprint 4,2026-06-01,2026-06-12,3,Medium,Not Started,FR-031,"AppSettingsImporter 讀取 appsettings.json 中的 Systems 設定並呼叫 UpsertMonitoredSystem/UpsertMonitoredComponent；僅在首次啟動且 DB 為空時執行；支援多系統批次匯入"
US-046,Story,EP-009,實作 HealthManagementPage.razor (FR-046),Sprint 5,2026-06-15,2026-06-26,5,High,Not Started,FR-046/047,"HealthManagementPage 列出所有 HealthMonitorDefinition；顯示每日執行實例狀態 (InProgress/Success/Failed/Missed/Exempted)；即時接收 OnDailyExecutionUpdated 推送；顯示 CompletedComponents 進度"
US-047,Story,EP-009,實作 HealthDefinitionEditorPage.razor,Sprint 5,2026-06-15,2026-06-26,8,High,Not Started,FR-041/042/046,"HealthDefinitionEditorPage 支援 Definition 新增/編輯：Name/DeadlineTime/ScheduleType/CronExpression/WatchedComponents 多選/EmailRecipients/TeamsWebhookUrl/SendOnFailure；WatchedComponents 不得為空驗證 (BI-014)"
US-048,Story,EP-009,實作 DailyExecutionCreatorService & Quartz Job,Sprint 5,2026-06-15,2026-06-26,8,Critical,Not Started,FR-042/044/BI-012/015,"DailyExecutionCreatorJob 每日 05:30 執行 CreateForDateAsync；依 Schedule 匹配跳過不符合日期的 Definition (BI-015)；已存在則跳過 (BI-012)；建立實例後重置 ScheduledJob 元件狀態至 Idle；推送 OnDailyExecutionUpdated"
US-049,Story,EP-009,實作 AggregateHealthEvaluationService - 進度追蹤 (FR-034),Sprint 5,2026-06-15,2026-06-26,8,Critical,Not Started,FR-034,"UpdateComponentProgressAsync：在 ComponentStatusChanged 事件時更新 InProgress 實例的 CompletedComponents 清單；ScheduledJob Completed 且非 Lost → 記入；Service Normal 且所有子指標 Normal → 記入；持久化至 SQLite；推送 OnDailyExecutionUpdated"
US-050,Story,EP-009,實作 AggregateHealthEvaluationService - 截止時間評估 (FR-045),Sprint 5,2026-06-15,2026-06-26,8,Critical,Not Started,FR-014/016/045/BI-006/008/013,"EvaluateDefinitionAsync：維護模式 → Exempted (FR-016/BI-006)；依 BI-008 評估各元件達成條件；Success/Failed 更新 DailyExecution 終態 (BI-013)；SendOnFailure 控制 Email/Teams 發送 (FR-014)；NotificationInbox 一律寫入 (FR-020)"
US-051,Story,EP-009,實作 AggregateHealthEvaluationJob (Quartz),Sprint 5,2026-06-15,2026-06-26,3,High,Not Started,FR-045,"AggregateHealthEvaluationJob 實作 IJob；由 QuartzJobScheduler 依各 Definition.DeadlineTime 動態排程；傳入 definitionId 呼叫 EvaluateDefinitionAsync；例外記錄 ERROR 不中斷 Quartz"
US-052,Story,EP-009,實作 RecoverTodayAsync - 站台重啟補建 (FR-044),Sprint 5,2026-06-15,2026-06-26,5,High,Not Started,FR-044/BI-012/015,"站台啟動時呼叫 RecoverTodayAsync；截止時間未過 → 建立 InProgress；截止時間已過 → 建立 Missed 並寫入 MissedReason='站台未運行'；已存在則跳過 (BI-012)"
US-053,Story,EP-009,實作 EmailNotificationService - 彙整報告,Sprint 5,2026-06-15,2026-06-26,5,High,Not Started,FR-013/014,"IEmailNotificationService.SendHealthSummaryAsync 格式化成功/失敗彙整郵件；使用 System.Net.Mail 無帳密 SMTP；失敗拋出 EmailDeliveryException；呼叫方負責寫入 NotificationDeliveryFailed Inbox"
US-054,Story,EP-009,實作 TeamsNotificationService,Sprint 5,2026-06-15,2026-06-26,5,Medium,Not Started,FR-013/014,"ITeamsNotificationService.SendHealthSummaryAsync 組裝 Teams Adaptive Card JSON；HTTP POST 至 webhookUrl；失敗拋出 TeamsWebhookException；呼叫方負責寫入 NotificationDeliveryFailed Inbox"
US-055,Story,EP-010,建立 MailAgent 專案結構與 DI Composition Root,Sprint 6,2026-06-29,2026-07-10,3,High,Not Started,FR-048,"建立 BrokerageMonitor.MailAgent Windows Console App 專案；實作 Program.cs DI Composition Root；設定 NLog；讀取 appsettings.json (BrokerAddress/PollIntervalSeconds/MailboxFolder)"
US-056,Story,EP-010,實作 OutlookMailReader (Outlook COM Interop),Sprint 6,2026-06-29,2026-07-10,8,High,Not Started,FR-048,"OutlookMailReader 透過 Microsoft.Office.Interop.Outlook 讀取指定 Mailbox Folder；取得未讀郵件的 From/Subject/Body/ReceivedAt；讀取後標記為已讀；例外記錄 ERROR 不終止輪詢循環"
US-057,Story,EP-010,實作 ZeroMQMailPublisher (NetMQ PUB),Sprint 6,2026-06-29,2026-07-10,5,High,Not Started,FR-048,"ZeroMQMailPublisher 建立 NetMQ PUB Socket；Publish MailRelayMessage JSON 至 topic=mailrelay；連線失敗記錄 ERROR 並自動重試；訊息格式符合 Design Doc 6.2"
US-058,Story,EP-010,實作 MailRelayWorker (IHostedService 輪詢主循環),Sprint 6,2026-06-29,2026-07-10,5,High,Not Started,FR-048,"MailRelayWorker 每 N 秒 (PollIntervalSeconds) 呼叫 OutlookMailReader；將每封郵件封裝為 MailRelayMessage 並呼叫 ZeroMQMailPublisher.Publish；可透過 CancellationToken 優雅停止"
US-059,Story,EP-010,實作 MailChannelMessageParser,Sprint 6,2026-06-29,2026-07-10,3,Medium,Not Started,FR-050/051,"MailChannelMessageParser 解析 ZeroMQ raw frame 為 MailRelayMessage DTO；驗證 messageType=MailRelay；解析失敗記錄 WARNING 並丟棄"
US-060,Story,EP-010,實作 MailChannelProcessor (MailParsingRule 比對),Sprint 6,2026-06-29,2026-07-10,8,Critical,Not Started,FR-050/BI-016/017,"MailChannelProcessor 迭代含 MailParsingRule 的元件；FromPattern + SubjectPattern 雙條件比對；失敗關鍵字優先 (BI-016)；狀態映射 (FR-050)；進入相同狀態機流程 (BI-017)；無比對記錄 ERR_MAIL_NO_RULE_MATCH"
US-061,Story,EP-010,實作 MailParsingRule 管理 UI,Sprint 6,2026-06-29,2026-07-10,5,Medium,Not Started,FR-049,"在 SystemManagementPage 元件編輯中新增 MailParsingRule 區段；輸入 FromPattern/SubjectPattern/SuccessKeywords/FailureKeywords；前端驗證兩組關鍵字不重疊 (BI-016)；儲存呼叫 UpsertMonitoredComponentCommand"
US-062,Story,EP-011,ComponentStatus 狀態機單元測試,Sprint 6,2026-06-29,2026-07-10,5,High,Not Started,FR-003/028/BI-011,"測試 Service 元件 Stopped 狀態豁免超時；ScheduledJob Lost 僅在 Running 狀態觸發；維護模式從任何狀態進入後退出重置為 Unknown；Running → Warning (站台重啟) 轉換 (FR-033)；覆蓋 Design Doc 1.3 所有轉換路徑"
US-063,Story,EP-011,AlertEvaluationService 單元測試,Sprint 6,2026-06-29,2026-07-10,5,High,Not Started,BI-004/006/007,"測試盤後時段不觸發告警；維護模式抑制告警；已有未 Acknowledge 告警時不重複觸發 (BI-007)；告警觸發後 Email 與 SignalR 推送驗證 (使用 Mock)"
US-064,Story,EP-011,HeartbeatProcessor 單元測試,Sprint 6,2026-06-29,2026-07-10,5,High,Not Started,FR-002/039,"測試子指標 Worst-case Rollup 計算；狀態未變更時不 Raise ComponentStatusChanged；SubIndicator 更新觸發 Rollup 重新計算；MessageType=StatusUpdate 處理"
US-065,Story,EP-011,AggregateHealthEvaluationService 單元測試,Sprint 6,2026-06-29,2026-07-10,5,High,Not Started,FR-016/045/BI-006/008/013,"測試 Success/Failed/Exempted 各情境；ScheduledJob Completed 且非 Lost 達成條件；Service Normal + 子指標全 Normal 達成條件；維護模式 → Exempted 不發送 Email (FR-016)；終態不可覆寫 (BI-013)"
US-066,Story,EP-011,DailyExecutionCreatorService 單元測試,Sprint 6,2026-06-29,2026-07-10,5,High,Not Started,FR-042/044/BI-012,"測試重複建立跳過 (BI-012)；Daily/Weekly/Cron Schedule 匹配邏輯；RecoverTodayAsync 截止前建立 InProgress、截止後建立 Missed；已存在則跳過"
US-067,Story,EP-011,Infrastructure 整合測試,Sprint 6,2026-06-29,2026-07-10,5,Medium,Not Started,,"ZeroMQSubscriberService 收訊分派整合測試；HeartbeatTimeoutMonitor 計時器觸發整合測試；SQLite Repository CRUD 整合測試 (in-memory DB)"
US-068,Story,EP-011,E2E 場景驗收測試,Sprint 6,2026-06-29,2026-07-10,8,High,Not Started,,"覆蓋核心 E2E 場景：①心跳正常→狀態顯示；②心跳超時→Lost→告警觸發→Acknowledge；③維護模式抑制告警；④Daily Execution 全流程 (建立→進度→評估→通知)；⑤Mail Relay 郵件→狀態更新；驗收通過後關閉 Sprint 6"
